period,amp
23772.48527709914,4.801920212535976e-07
23778.48604860486,1.2532622202330195e-06
23784.486820110582,2.1310410727079513e-06
23790.487591616304,6.09438032425076e-07
23796.488363122025,3.6727639563498136e-07
23802.489134627747,5.566698488013086e-07
23808.48990613347,3.294737798751208e-07
23814.49067763919,2.475475293751691e-07
23820.491449144916,3.482329059416992e-07
23826.492220650638,1.101217152488759e-06
23832.49299215636,8.648324017917645e-07
23838.49376366208,5.339015430049957e-07
23844.494535167803,2.6904443276947564e-06
23850.495306673525,6.708760192749116e-07
23856.496078179247,1.71492584894102e-06
23862.49684968497,6.562814488842717e-07
23868.49762119069,4.919708006481079e-07
23874.498392696412,2.082245501451266e-06
23880.499164202134,1.554564290803903e-06
23886.499935707856,1.1232473292624099e-07
23892.500707213578,9.107784561880797e-07
23898.5014787193,1.1718036669692512e-06
23904.50225022502,6.518608990358315e-07
23910.503021730743,6.117242297000788e-07
23916.503793236465,5.042668296198474e-07
23922.504564742187,7.608471537868406e-07
23928.50533624791,2.4366717415633864e-06
23934.506107753634,4.701669124066392e-06
23940.506879259356,5.818313094522973e-07
23946.507650765077,3.461260479130308e-06
23952.5084222708,2.7041293817159316e-06
23958.50919377652,2.429474219713954e-06
23964.509965282243,1.8047040148190497e-06
23970.510736787965,1.2728931998973873e-06
23976.511508293686,4.070630283074038e-06
23982.512279799408,2.0328755922219544e-06
23988.51305130513,1.6711615351070115e-06
23994.51382281085,2.505873495902893e-06
24000.514594316573,3.533799093984505e-07
24006.515365822295,2.0589867260685748e-07
24012.516137328017,8.910647300909114e-07
24018.51690883374,1.627168980276555e-08
24024.517680339464,2.537072082961483e-07
24030.518451845186,1.1297908350619125e-06
24036.519223350908,1.3135808565936782e-06
24042.51999485663,5.700062273044874e-07
24048.52076636235,1.0140351189826237e-06
24054.521537868073,6.820896487329784e-08
24060.522309373795,1.9027836884646077e-06
24066.523080879517,9.007773224727241e-08
24072.52385238524,3.2498614101403177e-07
24078.52462389096,2.307591844732302e-07
24084.525395396682,1.208783528805703e-07
24090.526166902404,3.2261587695021817e-07
24096.526938408126,2.837798135676109e-07
24102.527709913848,1.4704501128810344e-06
24108.52848141957,2.9640124095110374e-06
24114.52925292529,3.82660151314075e-07
24120.530024431013,3.5414269818773274e-07
24126.530795936735,4.827370406308898e-07
24132.531567442456,1.7951604351178802e-06
24138.53233894818,1.1164155623892374e-06
24144.533110453904,8.058135711115195e-07
24150.533881959625,1.1146773671904192e-06
24156.534653465347,7.323536121049861e-07
24162.53542497107,8.703877844424155e-07
24168.53619647679,5.288736146207181e-07
24174.536967982513,5.168945961354191e-07
24180.537739488234,4.96917377728456e-07
24186.538510993956,5.811287302483418e-07
24192.539282499678,5.805648806064899e-06
24198.5400540054,1.4409549586910151e-06
24204.54082551112,2.0807544716416543e-06
24210.541597016843,1.2459208583819058e-06
24216.542368522565,1.2893650174059532e-06
24222.54314002829,1.488606302886491e-05
24228.543911534012,1.0144749492305004e-05
24234.544683039734,2.06606332909755e-06
24240.545454545456,8.43844809666149e-07
24246.546226051178,2.3152471729545897e-07
24252.5469975569,5.195462128675881e-07
24258.54776906262,8.498359545316058e-06
24264.548540568343,8.564436185953013e-07
24270.549312074065,5.329351804710718e-06
24276.550083579787,1.0444866761133773e-06
24282.55085508551,1.2587054743773236e-06
24288.55162659123,1.6305170996070005e-06
24294.552398096952,2.423005145550342e-07
24300.553169602674,1.2080340210347127e-06
24306.553941108396,2.744336390571878e-06
24312.554712614117,1.5203489758599176e-06
24318.55548411984,1.8292666915604565e-06
24324.55625562556,2.746606876148939e-07
24330.557027131283,1.8052693363438438e-07
24336.557798637004,1.0077556665897228e-06
24342.558570142726,8.204170145214215e-08
24348.55934164845,2.2792819825033493e-06
24354.560113154173,3.4535835563638457e-07
24360.560884659895,1.6226462415024575e-06
24366.561656165617,1.8055414226144059e-07
24372.56242767134,1.685940007672293e-07
24378.56319917706,8.625206075083466e-07
24384.563970682782,2.7367707186523057e-07
24390.564742188504,2.563487173475175e-07
24396.565513694226,1.211566104140008e-07
24402.566285199948,4.2617554210111524e-07
24408.56705670567,5.198789000153698e-07
24414.56782821139,6.820988548082253e-07
24420.568599717113,3.7667111479534798e-06
24426.56937122284,8.195478534290206e-07
24432.57014272856,3.342723932138823e-09
24438.570914234282,1.4160878304519471e-06
24444.571685740004,1.4704397866042285e-06
24450.572457245726,1.073701438563611e-06
24456.573228751447,2.417972759333029e-07
24462.57400025717,4.883884811852555e-06
24468.57477176289,5.526802167389728e-06
24474.575543268613,2.829787873544689e-06
24480.576314774335,5.260907740459917e-06
24486.577086280056,9.406717353090543e-06
24492.577857785778,9.712200051265576e-06
24498.5786292915,6.194339480512091e-07
24504.57940079722,3.7926687782868665e-06
24510.580172302944,8.578757870646201e-08
24516.580943808665,1.257565269737716e-06
24522.581715314387,2.2784944873130705e-06
24528.58248682011,8.675309275947477e-07
24534.58325832583,7.236097703237207e-07
24540.584029831552,4.637609097143172e-07
24546.584801337274,1.6467454213727485e-06
24552.585572843,2.4611754738755387e-07
24558.58634434872,1.6035039986390161e-06
24564.587115854443,4.568187023502371e-06
24570.587887360165,2.68696509055105e-07
24576.588658865887,2.2598530596074745e-07
24582.58943037161,1.678908250272686e-08
24588.59020187733,1.5643382106511226e-06
24594.590973383052,3.9124374302992867e-07
24600.591744888774,1.6133664404455154e-07
24606.592516394496,1.0390375989218143e-07
24612.593287900218,8.111060509604144e-08
24618.59405940594,1.6544891504844487e-06
24624.59483091166,3.8868072284897475e-07
24630.595602417387,1.5558252346349258e-06
24636.59637392311,1.5083254370114215e-06
24642.59714542883,1.782785915397438e-07
24648.597916934552,7.611751108881151e-07
24654.598688440274,1.583015956537444e-06
24660.599459945995,2.411786069395074e-06
24666.600231451717,7.768085177636812e-08
24672.60100295744,1.4927231756002918e-06
24678.60177446316,5.664546096352723e-07
24684.602545968883,1.84644649316472e-06
24690.603317474604,1.4693351863770343e-06
24696.604088980326,2.598538554538674e-07
24702.604860486048,2.0391270880814734e-07
24708.60563199177,6.061868028704335e-07
24714.60640349749,8.326064247795932e-08
24720.607175003213,7.691954239883253e-07
24726.607946508935,7.004760772299466e-06
24732.608718014657,6.441931274337168e-06
24738.60948952038,4.412036065966131e-06
24744.6102610261,2.0397014201810217e-06
24750.611032531822,2.187750527043092e-05
24756.611804037548,1.8802062729018227e-06
24762.61257554327,1.8098684449248178e-06
24768.61334704899,4.170887206686154e-06
24774.614118554713,1.5885699029496788e-08
24780.614890060435,4.184336932348366e-06
24786.615661566157,6.543140953742721e-07
24792.61643307188,2.981187301093947e-06
24798.6172045776,1.612083933519782e-07
24804.617976083322,8.800240707145063e-07
24810.618747589044,4.6749491979183516e-07
24816.619519094766,2.3990647753477285e-06
24822.620290600487,2.097258226762438e-06
24828.62106210621,7.091158955485926e-07
24834.621833611935,2.2317643840872596e-06
24840.622605117656,1.9160407692372425e-09
24846.623376623378,2.477255623330224e-07
24852.6241481291,5.829753855885205e-07
24858.62491963482,1.1954677196197676e-06
24864.625691140543,1.4526147048685883e-06
24870.626462646265,1.0758645835374114e-06
24876.627234151987,2.136848920247948e-07
24882.62800565771,1.4478627630617468e-07
24888.62877716343,3.4800248294524784e-07
24894.629548669152,3.619331975206139e-08
24900.630320174874,7.487913325999662e-07
24906.631091680596,8.762519892001103e-08
24912.631863186318,3.7129476996274016e-07
24918.63263469204,4.938896154829909e-08
24924.63340619776,1.2547532187644275e-06
24930.634177703483,1.4057700719133784e-07
24936.634949209205,8.442305570877347e-08
24942.635720714927,2.439719160960204e-07
24948.63649222065,1.0420487968549952e-06
24954.63726372637,1.0432240923488318e-06
24960.638035232096,9.93434543505968e-08
24966.638806737818,1.8821915357788824e-06
24972.63957824354,1.8635738780489285e-07
24978.64034974926,5.101078139240951e-07
24984.641121254983,1.341748436491699e-07
24990.641892760705,1.700908602481342e-07
24996.642664266426,1.0379709895293502e-06
25002.64343577215,1.7421394601625524e-06
25008.64420727787,1.221930820966525e-06
25014.64497878359,6.708960989300587e-06
25020.645750289314,8.865404880675711e-06
25026.646521795035,9.397475708657247e-08
25032.647293300757,3.4868594492766564e-06
25038.648064806483,1.0043560426260015e-05
25044.648836312204,1.5246957026667895e-06
25050.649607817926,1.6198605778977084e-06
25056.650379323648,1.7107433458078975e-07
25062.65115082937,3.388531285437498e-06
25068.65192233509,3.534771808603929e-07
25074.652693840813,9.14064400107704e-07
25080.653465346535,1.051047828099981e-06
25086.654236852257,1.1439249394054451e-06
25092.65500835798,5.448451899813664e-07
25098.6557798637,3.735589436397639e-07
25104.656551369422,2.2460687290557766e-06
25110.657322875144,1.5259066685427113e-07
25116.658094380866,4.448994448180352e-07
25122.658865886588,1.3730126424411397e-07
25128.65963739231,1.290115927928089e-07
25134.66040889803,3.8214266997476065e-06
25140.661180403753,9.519976339513941e-07
25146.661951909475,1.4955704496282483e-06
25152.662723415197,1.1405455219478313e-06
25158.66349492092,5.270987024955094e-07
25164.664266426644,4.364660558519459e-07
